,precision,recall,f1-score,support
PEREGRINE FALCON,0.8444444444444444,0.7450980392156863,0.7916666666666666,51.0
PHAINOPEPLA,0.927710843373494,0.8953488372093024,0.9112426035502958,86.0
PHILIPPINE EAGLE,1.0,0.9833333333333333,0.9915966386554621,60.0
PINK ROBIN,1.0,0.9183673469387755,0.9574468085106383,49.0
PLUSH CRESTED JAY,0.9213483146067416,0.9647058823529412,0.9425287356321839,85.0
POMARINE JAEGER,0.7142857142857143,0.6779661016949152,0.6956521739130435,59.0
PUFFIN,0.9764705882352941,0.9651162790697675,0.9707602339181286,86.0
PUNA TEAL,0.9142857142857143,0.8888888888888888,0.9014084507042254,72.0
PURPLE FINCH,0.7924528301886793,0.711864406779661,0.75,59.0
PURPLE GALLINULE,0.8059701492537313,0.8709677419354839,0.8372093023255813,62.0
PURPLE MARTIN,0.8545454545454545,0.7704918032786885,0.810344827586207,61.0
PURPLE SWAMPHEN,0.9090909090909091,0.7352941176470589,0.8130081300813008,68.0
PYGMY KINGFISHER,0.7727272727272727,0.8360655737704918,0.8031496062992125,61.0
PYRRHULOXIA,0.9186046511627907,0.9186046511627907,0.9186046511627907,86.0
QUETZAL,0.9787234042553191,0.9387755102040817,0.9583333333333333,49.0
RAINBOW LORIKEET,0.875,1.0,0.9333333333333333,56.0
RAZORBILL,0.935064935064935,0.972972972972973,0.9536423841059603,74.0
RED BEARDED BEE EATER,0.9746835443037974,0.9746835443037974,0.9746835443037974,79.0
RED BELLIED PITTA,1.0,0.9402985074626866,0.9692307692307692,67.0
RED BILLED TROPICBIRD,0.9017857142857143,0.9099099099099099,0.905829596412556,111.0
RED BROWED FINCH,0.7936507936507936,0.9615384615384616,0.8695652173913043,52.0
RED CROSSBILL,0.9420289855072463,0.7647058823529411,0.8441558441558441,85.0
RED FACED CORMORANT,0.8571428571428571,0.7868852459016393,0.8205128205128205,61.0
RED FACED WARBLER,0.967741935483871,0.967741935483871,0.967741935483871,62.0
RED FODY,0.6881720430107527,0.9696969696969697,0.8050314465408805,66.0
RED HEADED DUCK,0.9393939393939394,0.9117647058823529,0.9253731343283583,68.0
RED HEADED WOODPECKER,0.926829268292683,0.7755102040816326,0.8444444444444446,49.0
RED KNOT,0.8961038961038961,0.8518518518518519,0.8734177215189873,81.0
RED LEGGED HONEYCREEPER,0.8769230769230769,0.8142857142857143,0.8444444444444444,70.0
RED NAPED TROGON,0.8148148148148148,0.7333333333333333,0.7719298245614035,60.0
RED SHOULDERED HAWK,0.6941176470588235,0.855072463768116,0.7662337662337662,69.0
RED TAILED HAWK,0.6363636363636364,0.6363636363636364,0.6363636363636364,88.0
RED TAILED THRUSH,1.0,0.8524590163934426,0.9203539823008848,61.0
RED WINGED BLACKBIRD,0.6447368421052632,0.7313432835820896,0.6853146853146853,67.0
RED WISKERED BULBUL,0.96875,0.9538461538461539,0.9612403100775193,65.0
REGENT BOWERBIRD,0.9117647058823529,0.96875,0.9393939393939394,64.0
RING-NECKED PHEASANT,0.8225806451612904,0.8793103448275862,0.8500000000000001,58.0
ROADRUNNER,0.9230769230769231,0.972972972972973,0.9473684210526315,74.0
ROCK DOVE,0.9655172413793104,0.9824561403508771,0.9739130434782608,57.0
ROSE BREASTED COCKATOO,0.9764705882352941,1.0,0.988095238095238,83.0
ROSE BREASTED GROSBEAK,0.9393939393939394,0.8157894736842105,0.8732394366197183,76.0
ROSEATE SPOONBILL,0.9425287356321839,0.9647058823529412,0.9534883720930232,85.0
ROSY FACED LOVEBIRD,0.9827586206896551,0.95,0.9661016949152542,60.0
ROUGH LEG BUZZARD,0.7647058823529411,0.6964285714285714,0.7289719626168223,56.0
ROYAL FLYCATCHER,0.9523809523809523,1.0,0.975609756097561,40.0
RUBY CROWNED KINGLET,0.7640449438202247,0.8947368421052632,0.8242424242424243,76.0
RUBY THROATED HUMMINGBIRD,0.7037037037037037,0.3584905660377358,0.47500000000000003,53.0
RUDDY SHELDUCK,0.9482758620689655,0.9649122807017544,0.9565217391304347,57.0
RUDY KINGFISHER,0.984375,0.9692307692307692,0.9767441860465116,65.0
RUFOUS KINGFISHER,0.8541666666666666,0.9111111111111111,0.8817204301075269,45.0
RUFOUS TREPE,0.825,0.8918918918918919,0.8571428571428571,111.0
RUFUOS MOTMOT,0.9111111111111111,0.9425287356321839,0.9265536723163842,87.0
SAMATRAN THRUSH,1.0,0.8833333333333333,0.9380530973451328,60.0
SAND MARTIN,0.6521739130434783,0.8333333333333334,0.7317073170731708,54.0
SANDHILL CRANE,0.9473684210526315,0.9,0.9230769230769231,60.0
SATYR TRAGOPAN,0.9333333333333333,0.9032258064516129,0.9180327868852459,62.0
SAYS PHOEBE,0.8607594936708861,0.8,0.829268292682927,85.0
SCARLET CROWNED FRUIT DOVE,1.0,0.86,0.924731182795699,50.0
SCARLET FACED LIOCICHLA,0.8875,0.9102564102564102,0.8987341772151898,78.0
SCARLET IBIS,0.94,0.9591836734693877,0.9494949494949495,49.0
SCARLET MACAW,0.9393939393939394,0.9538461538461539,0.9465648854961831,65.0
SCARLET TANAGER,0.8507462686567164,0.8636363636363636,0.8571428571428571,66.0
SHOEBILL,0.926829268292683,0.9156626506024096,0.9212121212121213,83.0
SHORT BILLED DOWITCHER,0.813953488372093,0.9210526315789473,0.8641975308641974,76.0
SMITHS LONGSPUR,0.7586206896551724,0.7333333333333333,0.7457627118644068,60.0
SNOW GOOSE,0.7794117647058824,0.7681159420289855,0.7737226277372262,69.0
SNOW PARTRIDGE,0.9104477611940298,0.6777777777777778,0.7770700636942676,90.0
SNOWY EGRET,0.890625,0.9661016949152542,0.9268292682926829,59.0
SNOWY OWL,0.8767123287671232,1.0,0.9343065693430657,64.0
SNOWY PLOVER,0.8653846153846154,0.9375,0.9,48.0
SNOWY SHEATHBILL,0.891566265060241,0.9367088607594937,0.9135802469135801,79.0
SORA,0.9213483146067416,0.9425287356321839,0.9318181818181818,87.0
SPANGLED COTINGA,0.9482758620689655,0.8088235294117647,0.873015873015873,68.0
SPLENDID WREN,0.9852941176470589,0.8481012658227848,0.91156462585034,79.0
SPOON BILED SANDPIPER,0.8214285714285714,0.9019607843137255,0.8598130841121495,51.0
SPOTTED CATBIRD,0.782608695652174,0.9152542372881356,0.8437499999999999,59.0
SPOTTED WHISTLING DUCK,0.8181818181818182,0.875,0.8456375838926175,72.0
SQUACCO HERON,0.896551724137931,0.8125,0.8524590163934426,64.0
SRI LANKA BLUE MAGPIE,0.9873417721518988,1.0,0.9936305732484078,78.0
STEAMER DUCK,0.9393939393939394,0.9841269841269841,0.9612403100775193,63.0
STORK BILLED KINGFISHER,0.9791666666666666,0.9038461538461539,0.9400000000000001,52.0
STRIATED CARACARA,0.8941176470588236,0.926829268292683,0.9101796407185628,82.0
STRIPED OWL,0.8518518518518519,0.8518518518518519,0.8518518518518519,54.0
STRIPPED MANAKIN,0.8939393939393939,0.9672131147540983,0.9291338582677166,61.0
STRIPPED SWALLOW,0.8620689655172413,0.819672131147541,0.8403361344537814,61.0
SUNBITTERN,0.9154929577464789,0.8441558441558441,0.8783783783783784,77.0
SUPERB STARLING,0.9838709677419355,0.9838709677419355,0.9838709677419355,62.0
SURF SCOTER,0.9315068493150684,0.918918918918919,0.9251700680272108,74.0
SWINHOES PHEASANT,0.8130841121495327,0.9775280898876404,0.8877551020408163,89.0
TAILORBIRD,0.8,0.9523809523809523,0.8695652173913043,63.0
TAIWAN MAGPIE,0.9361702127659575,0.8461538461538461,0.8888888888888888,52.0
TAKAHE,0.8507462686567164,0.95,0.8976377952755905,60.0
TASMANIAN HEN,0.9361702127659575,0.88,0.9072164948453608,50.0
TAWNY FROGMOUTH,0.9090909090909091,0.8433734939759037,0.8750000000000001,83.0
TEAL DUCK,0.7704918032786885,0.734375,0.7519999999999999,64.0
TIT MOUSE,0.8333333333333334,0.9523809523809523,0.888888888888889,63.0
TOUCHAN,1.0,1.0,1.0,52.0
TOWNSENDS WARBLER,0.7123287671232876,0.8,0.7536231884057971,65.0
TREE SWALLOW,0.8352941176470589,0.7473684210526316,0.7888888888888889,95.0
TRICOLORED BLACKBIRD,0.7241379310344828,0.38181818181818183,0.5000000000000001,55.0
TROPICAL KINGBIRD,0.8414634146341463,0.8846153846153846,0.8625,78.0
TRUMPTER SWAN,0.9464285714285714,0.9298245614035088,0.9380530973451328,57.0
TURKEY VULTURE,0.8904109589041096,0.9420289855072463,0.9154929577464788,69.0
TURQUOISE MOTMOT,0.9777777777777777,0.8979591836734694,0.9361702127659575,49.0
UMBRELLA BIRD,0.873015873015873,0.9482758620689655,0.9090909090909091,58.0
VARIED THRUSH,0.8876404494382022,0.9634146341463414,0.9239766081871345,82.0
VEERY,0.8080808080808081,0.9411764705882353,0.8695652173913043,85.0
VENEZUELIAN TROUPIAL,0.9019607843137255,0.7931034482758621,0.8440366972477066,58.0
VERDIN,0.9206349206349206,0.8529411764705882,0.8854961832061068,68.0
VERMILION FLYCATHER,0.8870967741935484,0.7142857142857143,0.7913669064748201,77.0
VICTORIA CROWNED PIGEON,1.0,1.0,1.0,55.0
VIOLET BACKED STARLING,0.9506172839506173,0.7475728155339806,0.8369565217391304,103.0
VIOLET CUCKOO,0.8571428571428571,0.825,0.8407643312101911,80.0
VIOLET GREEN SWALLOW,0.9324324324324325,0.8625,0.8961038961038962,80.0
VIOLET TURACO,0.9473684210526315,0.9310344827586207,0.9391304347826087,58.0
VISAYAN HORNBILL,0.9591836734693877,0.7121212121212122,0.817391304347826,66.0
VULTURINE GUINEAFOWL,0.9102564102564102,0.9594594594594594,0.9342105263157894,74.0
WALL CREAPER,0.96,0.9863013698630136,0.9729729729729729,73.0
WATTLED CURASSOW,0.8163265306122449,0.8163265306122449,0.8163265306122449,49.0
WATTLED LAPWING,0.896551724137931,0.8813559322033898,0.888888888888889,59.0
WHIMBREL,0.9090909090909091,0.8928571428571429,0.9009009009009009,56.0
WHITE BREASTED WATERHEN,0.9508196721311475,0.9206349206349206,0.9354838709677418,63.0
WHITE BROWED CRAKE,0.8727272727272727,0.96,0.9142857142857144,50.0
WHITE CHEEKED TURACO,0.75,0.8490566037735849,0.7964601769911505,53.0
WHITE CRESTED HORNBILL,0.75,0.9107142857142857,0.8225806451612904,56.0
WHITE EARED HUMMINGBIRD,0.7560975609756098,0.8857142857142857,0.8157894736842105,70.0
WHITE NECKED RAVEN,0.8301886792452831,0.7857142857142857,0.8073394495412844,56.0
WHITE TAILED TROPIC,0.8103448275862069,0.8392857142857143,0.8245614035087718,56.0
WHITE THROATED BEE EATER,0.9152542372881356,0.9818181818181818,0.9473684210526316,55.0
WILD TURKEY,0.8888888888888888,0.8888888888888888,0.8888888888888888,54.0
WILLOW PTARMIGAN,0.9666666666666667,0.7945205479452054,0.8721804511278196,73.0
